Script started on Sat 09 Jul 2016 08:49:43 PM EDT
]0;pahlni@eos18:~/cis263/p1/AmortizationTable[?1034h[pahlni@eos18 AmortizationTable]$ ./PahlAssignment1 
Please enter the name of the Loan: example
Please enter the principle: 180000
Please enter the APR (0.XXXX): 004  .04
Please enter the number of months: 360
Please enter the amount extra willing to pay each month: 32 00
*******************************************
* example - 180000.00 - 360 - 4.00% - 300.00 extra *
*******************************************
month          monthly pay    pri remain     pri paid       int paid       total paid     total pri paid total int paid 
0              859.35         179440.65      559.35         600.00         1159.35        559.35         600.00         
1              859.35         178879.44      561.21         598.14         2318.70        1120.56        1198.14        
2              859.35         178316.36      563.08         596.26         3478.04        1683.64        1794.40        
3              859.35         177751.40      564.96         594.39         4637.39        2248.60        2388.79        
4              859.35         177184.56      566.84         592.50         5796.74        2815.44        2981.29        
5              859.35         176615.82      568.73         590.62         6956.09        3384.18        3571.91        
6              859.35         176045.19      570.63         588.72         8115.43        3954.81        4160.63        
7              859.35         175472.66      572.53         586.82         9274.78        4527.34        4747.44        
8              859.35         174898.23      574.44         584.91         10434.13       5101.77        5332.35        
9              859.35         174321.87      576.35         582.99         11593.48       5678.13        5915.35        
10             859.35         173743.60      578.27         581.07         12752.82       6256.40        6496.42        
11             859.35         173163.40      580.20         579.15         13912.17       6836.60        7075.57        
12             859.35         172581.26      582.14         577.21         15071.52       7418.74        7652.78        
13             859.35         171997.18      584.08         575.27         16230.87       8002.82        8228.05        
14             859.35         171411.16      586.02         573.32         17390.21       8588.84        8801.37        
15             859.35         170823.18      587.98         571.37         18549.56       9176.82        9372.74        
16             859.35         170233.25      589.94         569.41         19708.91       9766.75        9942.15        
17             859.35         169641.34      591.90         567.44         20868.26       10358.66       10509.60       
18             859.35         169047.47      593.88         565.47         22027.60       10952.53       11075.07       
19             859.35         168451.61      595.86         563.49         23186.95       11548.39       11638.56       
20             859.35         167853.77      597.84         561.51         24346.30       12146.23       12200.07       
21             859.35         167253.93      599.83         559.51         25505.65       12746.07       12759.58       
22             859.35         166652.10      601.83         557.51         26664.99       13347.90       13317.09       
23             859.35         166048.26      603.84         555.51         27824.34       13951.74       13872.60       
24             859.35         165442.40      605.85         553.49         28983.69       14557.60       14426.09       
25             859.35         164834.53      607.87         551.47         30143.04       15165.47       14977.57       
26             859.35         164224.63      609.90         549.45         31302.38       15775.37       15527.02       
27             859.35         163612.70      611.93         547.42         32461.73       16387.30       16074.43       
28             859.35         162998.73      613.97         545.38         33621.08       17001.27       16619.81       
29             859.35         162382.71      616.02         543.33         34780.43       17617.29       17163.14       
30             859.35         161764.64      618.07         541.28         35939.77       18235.36       17704.41       
